Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1950.0,09 Jul 1950 - 15:00 ,Group 6,Brazil,7.0,1.0,Sweden
1950.0,13 Jul 1950 - 15:00 ,Group 6,Brazil,6.0,1.0,Spain
1950.0,13 Jul 1950 - 15:00 ,Group 6,Uruguay,3.0,2.0,Sweden
1950.0,16 Jul 1950 - 15:00 ,Group 6,Sweden,3.0,1.0,Spain
1950.0,16 Jul 1950 - 15:00 ,Group 6,Uruguay,2.0,1.0,Brazil
1954.0,16 Jun 1954 - 18:00 ,Group 3,Uruguay,2.0,0.0,Czechoslovakia
1954.0,16 Jun 1954 - 18:00 ,Group 3,Austria,1.0,0.0,Scotland
1954.0,16 Jun 1954 - 18:00 ,Group 1,Brazil,5.0,0.0,Mexico
1954.0,16 Jun 1954 - 18:00 ,Group 1,Yugoslavia,1.0,0.0,France
1954.0,17 Jun 1954 - 18:00 ,Group 2,Germany FR,4.0,1.0,Turkey
1954.0,17 Jun 1954 - 18:00 ,Group 2,Hungary,9.0,0.0,Korea Republic
1954.0,17 Jun 1954 - 18:10 ,Group 4,England,4.0,4.0,Belgium
1954.0,17 Jun 1954 - 17:50 ,Group 4,Switzerland,2.0,1.0,Italy
1954.0,19 Jun 1954 - 16:50 ,Group 3,Uruguay,7.0,0.0,Scotland
1954.0,19 Jun 1954 - 17:00 ,Group 3,Austria,5.0,0.0,Czechoslovakia
1954.0,19 Jun 1954 - 17:10 ,Group 1,France,3.0,2.0,Mexico
1954.0,19 Jun 1954 - 17:00 ,Group 1,Brazil,1.0,1.0,Yugoslavia
1954.0,20 Jun 1954 - 16:50 ,Group 2,Hungary,8.0,3.0,Germany FR
1954.0,20 Jun 1954 - 17:00 ,Group 2,Turkey,7.0,0.0,Korea Republic
1954.0,20 Jun 1954 - 17:10 ,Group 4,England,2.0,0.0,Switzerland
1954.0,20 Jun 1954 - 17:00 ,Group 4,Italy,4.0,1.0,Belgium
1954.0,23 Jun 1954 - 18:00 ,Group 2,Germany FR,7.0,2.0,Turkey
1954.0,23 Jun 1954 - 18:00 ,Group 4,Switzerland,4.0,1.0,Italy
1954.0,26 Jun 1954 - 17:00 ,Quarter-finals,Uruguay,4.0,2.0,England
1954.0,26 Jun 1954 - 17:00 ,Quarter-finals,Austria,7.0,5.0,Switzerland
1954.0,27 Jun 1954 - 17:00 ,Quarter-finals,Germany FR,2.0,0.0,Yugoslavia
1954.0,27 Jun 1954 - 17:00 ,Quarter-finals,Hungary,4.0,2.0,Brazil
1954.0,30 Jun 1954 - 18:00 ,Semi-finals,Germany FR,6.0,1.0,Austria
1954.0,30 Jun 1954 - 18:00 ,Semi-finals,Hungary,4.0,2.0,Uruguay
1954.0,03 Jul 1954 - 17:00 ,Match for third place,Austria,3.0,1.0,Uruguay
1954.0,04 Jul 1954 - 17:00 ,Final,Germany FR,3.0,2.0,Hungary
1958.0,08 Jun 1958 - 14:00 ,Group 3,Sweden,3.0,0.0,Mexico
1958.0,08 Jun 1958 - 19:00 ,Group 4,Soviet Union,2.0,2.0,England
1958.0,08 Jun 1958 - 19:00 ,Group 1,Argentina,1.0,3.0,Germany FR
1958.0,08 Jun 1958 - 19:00 ,Group 3,Hungary,1.0,1.0,Wales
1958.0,08 Jun 1958 - 19:00 ,Group 2,France,7.0,3.0,Paraguay
1958.0,08 Jun 1958 - 19:00 ,Group 2,Yugoslavia,1.0,1.0,Scotland
1958.0,08 Jun 1958 - 19:00 ,Group 4,Brazil,3.0,0.0,Austria
1958.0,08 Jun 1958 - 19:00 ,Group 1,Northern Ireland,1.0,0.0,Czechoslovakia
1958.0,11 Jun 1958 - 19:00 ,Group 4,Brazil,0.0,0.0,England
1958.0,11 Jun 1958 - 19:00 ,Group 3,Mexico,1.0,1.0,Wales
1958.0,11 Jun 1958 - 19:00 ,Group 2,Paraguay,3.0,2.0,Scotland
1958.0,11 Jun 1958 - 19:00 ,Group 2,Yugoslavia,3.0,2.0,France
1958.0,11 Jun 1958 - 19:00 ,Group 4,Soviet Union,2.0,0.0,Austria
1958.0,11 Jun 1958 - 19:00 ,Group 1,Germany FR,2.0,2.0,Czechoslovakia
1958.0,11 Jun 1958 - 19:00 ,Group 1,Argentina,3.0,1.0,Northern Ireland
