Country Name,Country Code,Series Name,2023 [YR2023]
Australia,AUS,GDP per capita (current US$),64711.7656
Australia,AUS,Gross domestic savings (% of GDP),29.02756022
Australia,AUS,Gross savings (% of GDP),24.81177276
Australia,AUS,Imports of goods and services (% of GDP),21.36069104
Australia,AUS,"Inflation, GDP deflator (annual %)",6.557375685
Australia,AUS,Tax revenue (% of GDP),..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",3.668
Australia,AUS,"Life expectancy at birth, total (years)",..
Australia,AUS,"Interest rate spread (lending rate minus deposit rate, %)",..
Australia,AUS,Taxes on exports (% of tax revenue),..
Australia,AUS,"Taxes on income, profits and capital gains (% of revenue)",..
Australia,AUS,"Revenue, excluding grants (% of GDP)",..
Australia,AUS,Social contributions (% of revenue),..
Australia,AUS,Interest payments (% of revenue),..
Austria,AUT,Exports of goods and services (current US$),3.06923E+11
Austria,AUT,Exports of goods and services (% of GDP),59.47718589
Austria,AUT,GDP (current US$),5.16034E+11
Austria,AUT,GDP per capita (current US$),56505.96828
Austria,AUT,Gross domestic savings (% of GDP),27.94790742
Austria,AUT,Gross savings (% of GDP),27.05366709
Austria,AUT,Imports of goods and services (% of GDP),56.64198122
Austria,AUT,"Inflation, GDP deflator (annual %)",7.60697137
Austria,AUT,Tax revenue (% of GDP),..
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",5.264
Austria,AUT,"Life expectancy at birth, total (years)",..
Austria,AUT,"Interest rate spread (lending rate minus deposit rate, %)",..
Austria,AUT,Taxes on exports (% of tax revenue),..
Austria,AUT,"Taxes on income, profits and capital gains (% of revenue)",..
Austria,AUT,"Revenue, excluding grants (% of GDP)",..
Austria,AUT,Social contributions (% of revenue),..
Austria,AUT,Interest payments (% of revenue),..
Azerbaijan,AZE,Exports of goods and services (current US$),35487352941
Azerbaijan,AZE,Exports of goods and services (% of GDP),49.04536789
Azerbaijan,AZE,GDP (current US$),72356176471
Azerbaijan,AZE,GDP per capita (current US$),7155.083604
Azerbaijan,AZE,Gross domestic savings (% of GDP),32.77568889
Azerbaijan,AZE,Gross savings (% of GDP),29.81595953
Azerbaijan,AZE,Imports of goods and services (% of GDP),34.57398246
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",-9.20663945
Azerbaijan,AZE,Tax revenue (% of GDP),..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",..
Azerbaijan,AZE,"Interest rate spread (lending rate minus deposit rate, %)",5.311920499
Azerbaijan,AZE,Taxes on exports (% of tax revenue),..
Azerbaijan,AZE,"Taxes on income, profits and capital gains (% of revenue)",..
Azerbaijan,AZE,"Revenue, excluding grants (% of GDP)",..
Azerbaijan,AZE,Social contributions (% of revenue),..
Azerbaijan,AZE,Interest payments (% of revenue),..
"Bahamas, The",BHS,Exports of goods and services (current US$),5699000000
"Bahamas, The",BHS,Exports of goods and services (% of GDP),39.74613802
"Bahamas, The",BHS,GDP (current US$),14338500000
"Bahamas, The",BHS,GDP per capita (current US$),34749.63829
"Bahamas, The",BHS,Gross domestic savings (% of GDP),19.5850333
"Bahamas, The",BHS,Gross savings (% of GDP),..
"Bahamas, The",BHS,Imports of goods and services (% of GDP),42.95846846
"Bahamas, The",BHS,"Inflation, GDP deflator (annual %)",6.344420145
"Bahamas, The",BHS,Tax revenue (% of GDP),..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",8.643
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",..
"Bahamas, The",BHS,"Interest rate spread (lending rate minus deposit rate, %)",3.711666667
"Bahamas, The",BHS,Taxes on exports (% of tax revenue),..
"Bahamas, The",BHS,"Taxes on income, profits and capital gains (% of revenue)",..
"Bahamas, The",BHS,"Revenue, excluding grants (% of GDP)",..
"Bahamas, The",BHS,Social contributions (% of revenue),..
"Bahamas, The",BHS,Interest payments (% of revenue),..
Bahrain,BHR,Exports of goods and services (current US$),..
Bahrain,BHR,Exports of goods and services (% of GDP),..
Bahrain,BHR,GDP (current US$),43205000000
Bahrain,BHR,GDP per capita (current US$),29084.30713
Bahrain,BHR,Gross domestic savings (% of GDP),..
Bahrain,BHR,Gross savings (% of GDP),..
Bahrain,BHR,Imports of goods and services (% of GDP),..
Bahrain,BHR,"Inflation, GDP deflator (annual %)",-5.011919018
Bahrain,BHR,Tax revenue (% of GDP),..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",..
Bahrain,BHR,"Life expectancy at birth, total (years)",..
Bahrain,BHR,"Interest rate spread (lending rate minus deposit rate, %)",..
Bahrain,BHR,Taxes on exports (% of tax revenue),..
Bahrain,BHR,"Taxes on income, profits and capital gains (% of revenue)",..
Bahrain,BHR,"Revenue, excluding grants (% of GDP)",..
Bahrain,BHR,Social contributions (% of revenue),..
Bahrain,BHR,Interest payments (% of revenue),..
Bangladesh,BGD,Exports of goods and services (current US$),57551451741
Bangladesh,BGD,Exports of goods and services (% of GDP),13.15716383
Bangladesh,BGD,GDP (current US$),4.37415E+11
Bangladesh,BGD,GDP per capita (current US$),2529.080127
Bangladesh,BGD,Gross domestic savings (% of GDP),25.75951408
Bangladesh,BGD,Gross savings (% of GDP),34.90435988
