"nume_tara","cod_tara","exporturi","exporturi (%pib)","pib","pib/nr_loc","economie_interna (%pib)","consum_intern (%pib)","investitii_publice (%pib)","inflatie_consum","investitii_straini (%pib)","urbanizare"
"Iraq","IRQ",26970668446.5,39.146212095,2.50843e+11,5512.47572,21.18721359,36.64786146,42.1708146,-7.3713722488,3.96133333333333,4.73321428571429
"Ireland","IRL",682133600000,85.160753714,1.835396e+12,57712.1210299999,39.969835204,36.99784434,86.567204206,2.965219701,4.288,4.95357142857143
"Isle of Man","IMN",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,34.108647815,42.1708146,5.001720395,3.8295,5.17392857142857
"Israel","ISR",682133600000,30.86278317,1.835396e+12,57712.1210299999,29.4176352,31.21945129,27.13297636,3.944913336,3.371,5.39428571428571
"Italy","ITA",682133600000,35.05454365,1.835396e+12,38373.16605,22.29841473,21.27504741,33.67320017,5.273214455,7.627,5.61464285714286
"Jamaica","JAM",26970668446.5,39.146212095,19423355367,6874.200284,21.18721359,22.83707830125,42.1708146,11.68655319,3.022,5.835
"Japan","JPN",26970668446.5,39.146212095,1.835396e+12,33834.39211,21.18721359,24.3991091925,42.1708146,3.752612323,2.6,4.6041666665
"Jordan","JOR",26970668446.5,39.146212095,50813642349,4482.086026,21.18721359,25.96114008375,42.1708146,1.778109847,2.6125,3.373333333
"Kazakhstan","KAZ",26970668446.5,39.146212095,2.61421e+11,13136.62291,21.18721359,27.523170975,42.1708146,9.346996308,2.625,3.8970724365
"Kenya","KEN",12722102297,12.948574106,1.07441e+11,1949.898969,0.324250881200001,29.08520186625,20.58384541,6.609305353,2.6375,4.42081154
"Kiribati","KIR",20644623.84,12.948574106,279034355.1,2089.910161,21.18721359,30.6472327575,86.567204206,3.266596417,2.65,3.39554102666667
"Korea, Dem. People's Rep.","PRK",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,32.20926364875,42.1708146,5.001720395,2.6625,2.37027051333333
"Korea, Rep.","KOR",682133600000,43.99566987,1.835396e+12,33121.37129,39.969835204,33.77129454,43.94400932,2.064073962,2.675,1.345
"Kosovo","XKX",4148880189,39.74650783,10438351483,5943.125714,0.324250881200001,26.6346862,86.567204206,5.001720395,3.433,1.8870583335
"Kuwait","KWT",26970668446.5,39.146212095,1.61772e+11,37533.21772,21.18721359,24.67156131,42.1708146,-7.3713722488,4.191,2.429116667
"Kyrgyz Republic","KGZ",26970668446.5,39.146212095,13987627909,1969.866481,21.18721359,22.70843642,42.1708146,13.41574141,4.949,15.665681064
"Lao PDR","LAO",26970668446.5,39.146212095,15843155731,2075.401414,21.18721359,20.74531153,42.1708146,26.77868896,5.707,15.665681064
"Latvia","LVA",27947329635,85.160753714,43627078481,23184.31167,19.13975615,18.78218664,67.91049718,5.408672662,6.465,15.665681064
"Lebanon","LBN",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,19.1217332966667,42.1708146,5.001720395,6.52766666666667,10.93765068575
"Lesotho","LSO",26970668446.5,39.146212095,2046039024,878.0085055,21.18721359,19.4612799533333,42.1708146,-0.094014934,6.59033333333333,8.647949561
"Liberia","LBR",26970668446.5,39.146212095,4.332e+09,799.5014005,21.18721359,19.80082661,42.1708146,3.400438966,6.653,8.10235840266667
"Libya","LBY",34652612312,85.160753714,50491722446,7329.976541,39.969835204,20.1403732666667,41.30266662,-7.3713722488,6.71566666666667,7.55676724433333
"Liechtenstein","LIE",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,20.4799199233333,42.1708146,5.001720395,6.77833333333333,7.011176086
"Lithuania","LTU",61097245984,85.160753714,77836396963,27102.78153,23.52806919,20.81946658,86.567204206,7.106523723,6.841,6.46558492766667
"Luxembourg","LUX",682133600000,85.160753714,85755006124,57712.1210299999,39.969835204,16.99917796,86.567204206,3.430024562,5.184,5.91999376933333
"Macao SAR, China","MAC",43618626905,85.160753714,47061843716,57712.1210299999,39.969835204,18.7106969775,49.32064573,6.529865561,4.88771428571429,5.374402611
"Madagascar","MDG",5215047273,32.52959028,16031702915,528.6501548,14.79130364,20.422215995,39.0609568,8.951930641,4.59142857142857,15.665681064
"Malawi","MWI",26970668446.5,39.146212095,14084341062,672.8697022,21.18721359,22.1337350125,42.1708146,26.77868896,4.29514285714286,15.665681064
"Malaysia","MYS",682133600000,85.160753714,3.99649e+11,11648.67416,27.52236182,23.84525403,63.42500914,-1.86492943,3.99885714285714,2.66695834
"Maldives","MDV",26970668446.5,39.146212095,6.6e+09,12667.43567,21.18721359,22.6513370766667,42.1708146,2.872397492,3.70257142857143,7.685210894
"Mali","MLI",5893554318,28.19221713,20904898296,897.4486703,0.324250881200001,21.4574201233333,37.78693189,2.858867776,3.40628571428571,7.1323353818
"Malta","MLT",34937965943,85.160753714,20956999452,37882.26519,39.969835204,20.26350317,86.567204206,5.273602252,3.11,6.5794598696
"Marshall Islands","MHL",26970668446.5,39.146212095,2.84e+08,6762.548814,21.18721359,19.0695862166667,42.1708146,6.31824747,3.93033333333333,6.0265843574
"Mauritania","MRT",4617949251,44.18000674,10452577063,2149.414087,28.51221371,17.8756692633333,52.17279246,2.6944699,4.75066666666667,5.4737088452
"Mauritius","MUS",7666473922,53.25002532,14397127281,11416.85899,18.17872147,16.68175231,55.17647203,6.680735089,5.571,4.920833333
"Mexico","MEX",682133600000,36.20345662,1.835396e+12,13926.11362,18.62038735,19.67852084,37.91918235,4.48808673,2.765,6.8225
